epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,4924.24,0.7567,0.64232,1.07968,0.82394,0.76898,0.82137,0.56862,1.12369,0.77905,1.24428,0.0003445,0.0003445,0.0003445
70,4997.37,0.73851,0.62091,1.07946,0.79633,0.76871,0.80603,0.55971,1.10789,0.78219,1.24642,0.000340375,0.000340375,0.000340375
71,5068.18,0.73895,0.62445,1.07329,0.85346,0.73789,0.81362,0.56589,1.10896,0.76503,1.23849,0.00033625,0.00033625,0.00033625
72,5137.68,0.71721,0.60652,1.06355,0.87176,0.73386,0.81273,0.56728,1.12393,0.78737,1.24764,0.000332125,0.000332125,0.000332125
73,5210.24,0.73127,0.61414,1.07003,0.82761,0.74848,0.80853,0.55954,1.11047,0.79401,1.2373,0.000328,0.000328,0.000328
74,5283.03,0.7299,0.60856,1.0637,0.86089,0.7455,0.81118,0.56289,1.12654,0.78587,1.25129,0.000323875,0.000323875,0.000323875
75,5354.49,0.73567,0.61659,1.07062,0.79653,0.74806,0.79863,0.55671,1.11083,0.79591,1.23843,0.00031975,0.00031975,0.00031975
76,5425.01,0.72548,0.60054,1.06561,0.83281,0.7426,0.81246,0.56304,1.12114,0.78876,1.22838,0.000315625,0.000315625,0.000315625
77,5496.74,0.72319,0.60193,1.06141,0.81138,0.76697,0.80945,0.56437,1.11595,0.81141,1.23762,0.0003115,0.0003115,0.0003115
78,5569.31,0.73567,0.60525,1.06614,0.83503,0.75214,0.82047,0.56732,1.11261,0.77241,1.23992,0.000307375,0.000307375,0.000307375
79,5640.14,0.72831,0.60333,1.06244,0.81206,0.76278,0.80845,0.55295,1.11616,0.8058,1.24197,0.00030325,0.00030325,0.00030325
80,5712.18,0.71001,0.59014,1.06074,0.83978,0.75478,0.80386,0.55493,1.10873,0.79433,1.23971,0.000299125,0.000299125,0.000299125
81,5784.67,0.72002,0.60237,1.05839,0.85227,0.72642,0.8124,0.5654,1.12159,0.80487,1.24277,0.000295,0.000295,0.000295
82,5856.11,0.72449,0.60026,1.05935,0.84171,0.75371,0.81348,0.56854,1.10188,0.77295,1.23935,0.000290875,0.000290875,0.000290875
83,5928.36,0.70897,0.58088,1.05781,0.83718,0.75256,0.8203,0.5717,1.10544,0.80223,1.22862,0.00028675,0.00028675,0.00028675
84,6001.82,0.69833,0.57837,1.04936,0.83538,0.75453,0.81362,0.56309,1.1016,0.80338,1.22334,0.000282625,0.000282625,0.000282625
85,6073.84,0.70494,0.58163,1.05629,0.83023,0.75172,0.8099,0.56442,1.10789,0.77855,1.24381,0.0002785,0.0002785,0.0002785
86,6145.07,0.7105,0.58701,1.05753,0.85888,0.75276,0.82298,0.57614,1.10905,0.76329,1.23778,0.000274375,0.000274375,0.000274375
87,6216.86,0.70208,0.57994,1.05463,0.86652,0.73425,0.81362,0.56811,1.11926,0.77611,1.25029,0.00027025,0.00027025,0.00027025
88,6288.4,0.70073,0.57983,1.05258,0.82878,0.77621,0.81806,0.57294,1.10219,0.7674,1.2308,0.000266125,0.000266125,0.000266125
89,6358.45,0.70659,0.57749,1.04694,0.84651,0.7475,0.81617,0.56956,1.11874,0.79928,1.24725,0.000262,0.000262,0.000262
90,6428.49,0.69976,0.5671,1.04705,0.85151,0.75674,0.82002,0.57147,1.12318,0.78007,1.25462,0.000257875,0.000257875,0.000257875
91,6501.66,0.68521,0.55533,1.04468,0.82254,0.76049,0.81533,0.56222,1.12757,0.7645,1.25247,0.00025375,0.00025375,0.00025375
92,6574.25,0.68938,0.56011,1.04716,0.79446,0.78366,0.81679,0.56827,1.12078,0.7805,1.24383,0.000249625,0.000249625,0.000249625
93,6643.56,0.68247,0.55281,1.03869,0.82298,0.7683,0.81873,0.56959,1.1231,0.79834,1.25001,0.0002455,0.0002455,0.0002455
94,6714.89,0.68687,0.56148,1.0444,0.80522,0.76493,0.81728,0.56817,1.09967,0.79391,1.23097,0.000241375,0.000241375,0.000241375
95,6787.22,0.66895,0.54421,1.03748,0.80371,0.77887,0.81901,0.56973,1.10414,0.77842,1.23169,0.00023725,0.00023725,0.00023725
96,6856.63,0.67964,0.54927,1.04446,0.84917,0.76736,0.8185,0.56718,1.10161,0.75178,1.22834,0.000233125,0.000233125,0.000233125
97,6927.91,0.67379,0.54808,1.03711,0.80993,0.76587,0.81293,0.56275,1.1092,0.77217,1.23514,0.000229,0.000229,0.000229
98,6999,0.67105,0.54617,1.0388,0.84698,0.73698,0.81292,0.56362,1.10245,0.77441,1.23338,0.000224875,0.000224875,0.000224875
99,7067.56,0.67562,0.54601,1.03698,0.85557,0.74951,0.81174,0.57045,1.08845,0.75288,1.22924,0.00022075,0.00022075,0.00022075
100,7140.13,0.68153,0.5489,1.03794,0.82599,0.77217,0.81878,0.5734,1.08681,0.74433,1.22924,0.000216625,0.000216625,0.000216625
101,7212.98,0.66897,0.54831,1.03441,0.8202,0.78461,0.81535,0.56902,1.10798,0.76117,1.23728,0.0002125,0.0002125,0.0002125
102,7284.03,0.67013,0.54262,1.03524,0.82574,0.77671,0.81739,0.57409,1.09605,0.76001,1.23451,0.000208375,0.000208375,0.000208375
103,7354.77,0.67635,0.54414,1.03629,0.8287,0.78055,0.82379,0.57512,1.09888,0.75827,1.23488,0.00020425,0.00020425,0.00020425
104,7426.3,0.6756,0.5449,1.03813,0.83785,0.77185,0.81354,0.57099,1.09466,0.74795,1.22855,0.000200125,0.000200125,0.000200125
105,7498.8,0.66041,0.53938,1.0296,0.85091,0.76572,0.82094,0.5697,1.11383,0.76027,1.23788,0.000196,0.000196,0.000196
106,7568.8,0.66612,0.53092,1.03184,0.8287,0.78189,0.82313,0.57215,1.10274,0.74872,1.23274,0.000191875,0.000191875,0.000191875
107,7640.83,0.6562,0.52333,1.02722,0.84381,0.77243,0.82015,0.57007,1.11098,0.74867,1.2414,0.00018775,0.00018775,0.00018775
